evenimente-service  | INFO:     Started server process [1]
evenimente-service  | INFO:     Waiting for application startup.
evenimente-service  | INFO:     Application startup complete.
evenimente-service  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
evenimente-service  | INFO:     172.26.0.1:52190 - "PUT /event-manager/event-packets/1/events/3 HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:53640 - "GET /event-manager/event-packets/1/tickets/?page=1&per_page=10 HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:40452 - "GET /event-manager/event-packets/?page=1&per_page=10 HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:40452 - "GET /event-manager/events/?page=1&per_page=10 HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:40452 - "POST /event-manager/events/ HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:58702 - "POST /event-manager/event-packets/ HTTP/1.1" 201 Created
evenimente-service  | INFO:     172.26.0.10:57580 - "POST /event-manager/tickets/ HTTP/1.1" 201 Created
evenimente-service  | INFO:     172.26.0.1:54112 - "OPTIONS /event-manager/events/ HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:54120 - "OPTIONS /event-manager/events/ HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:54122 - "GET /event-manager/events/ HTTP/1.1" 200 OK
evenimente-service  | INFO:     172.26.0.1:54122 - "GET /event-manager/events/ HTTP/1.1" 200 OK
